model_name,train_r2,test_r2,adjusted_r2,cv_r2_score,mae,mse,rmse,mape,accuracy_percentage
Lasso Regression,0.962,0.9695,0.9504,0.9599,1.1166,1.6691,1.2919,7.68,93.9
ElasticNet,0.9612,0.9682,0.9483,0.9589,1.1316,1.7419,1.3198,7.85,93.81
Ridge Regression,0.964,0.9673,0.9468,0.959,1.1285,1.7919,1.3386,7.68,93.83
Linear Regression,0.9651,0.9671,0.9465,0.9564,1.1269,1.8003,1.3417,7.45,93.84
Extra Trees,0.9981,0.9532,0.924,0.9455,1.3217,2.5604,1.6001,8.39,92.78
Gradient Boosting,0.9995,0.9507,0.9199,0.9396,1.4185,2.6976,1.6424,9.49,92.25
XGBoost,0.9987,0.9484,0.9161,0.9416,1.4339,2.8253,1.6809,9.78,92.16
Random Forest,0.9901,0.9463,0.9127,0.9407,1.4539,2.9392,1.7144,10.03,92.05
Decision Tree,0.9843,0.9209,0.8715,0.9008,1.6344,4.3292,2.0807,10.52,91.07
